Year,Month,Category,Value
2021,April,Barbecue sauce,136
2021,May,Mayonnaise,366
2021,May,Ketchup,153
2021,May,Mustard,252
2021,May,Soy sauce,169
2021,May,Barbecue sauce,201
2021,June,Mayonnaise,293
2021,June,Ketchup,124
2021,June,Mustard,213
2021,June,Soy sauce,140
2021,June,Barbecue sauce,167
2021,July,Mayonnaise,290
2021,July,Ketchup,127
2021,July,Mustard,205
2021,July,Soy sauce,141
2021,July,Barbecue sauce,160
2021,August,Mayonnaise,347
2021,August,Ketchup,152
2021,August,Mustard,231
2021,August,Soy sauce,172
2021,August,Barbecue sauce,160
2021,September,Mayonnaise,269
2021,September,Ketchup,122
2021,September,Mustard,177
2021,September,Soy sauce,134
2021,September,Barbecue sauce,124
2021,October,Mayonnaise,363
2021,October,Ketchup,152
2021,October,Mustard,226
2021,October,Soy sauce,172
2021,October,Barbecue sauce,145
2021,November,Mayonnaise,293
2021,November,Ketchup,123
2021,November,Mustard,201
2021,November,Soy sauce,136
2021,November,Barbecue sauce,109
2021,December,Mayonnaise,289
2021,December,Ketchup,117
2021,December,Mustard,216
2021,December,Soy sauce,138
2021,December,Barbecue sauce,127
2022,January,Mayonnaise,415
2022,January,Ketchup,172
2022,January,Mustard,274
2022,January,Soy sauce,236
2022,January,Barbecue sauce,171
2022,February,Mayonnaise,302
2022,February,Ketchup,132
2022,February,Mustard,216
2022,February,Soy sauce,180
2022,February,Barbecue sauce,144
2022,March,Mayonnaise,292
2022,March,Ketchup,133
2022,March,Mustard,216
2022,March,Soy sauce,174
2022,March,Barbecue sauce,137
2022,April,Mayonnaise,290
2022,April,Ketchup,135
2022,April,Mustard,227
2022,April,Soy sauce,161
2022,April,Barbecue sauce,140
2022,May,Mayonnaise,401
2022,May,Ketchup,167
2022,May,Mustard,271
2022,May,Soy sauce,198
2022,May,Barbecue sauce,204
2022,June,Mayonnaise,347
2022,June,Ketchup,171
2022,June,Mustard,231
2022,June,Soy sauce,169
2022,June,Barbecue sauce,181
2022,July,Mayonnaise,436
2022,July,Ketchup,196
2022,July,Mustard,317
2022,July,Soy sauce,217
2022,July,Barbecue sauce,223
2022,August,Mayonnaise,317
2022,August,Ketchup,160
2022,August,Mustard,223
2022,August,Soy sauce,163
2022,August,Barbecue sauce,155
